Grange 54.3933672 -8.5207441
Greystones 53.1491175 -6.0793414
Gurranabraher 51.9034402 -8.4967744
Gurteen 53.9929673 -8.515826299999999
Hackballscross 54.0316419 -6.5241623
Hacketstown 52.8646985 -6.5576991
Headford 53.4703187 -9.0983051
Henry Street 52.6616695 -8.6316074
Holycross 52.6425712 -7.872911200000001
Hospital Co Limerick 52.4732646 -8.4325391
Howth 53.38734770000001 -6.0689568
Indreabhan 53.2405874 -9.429566999999999
Innishannon 51.7644171 -8.655467
Irishtown 53.3381109 -6.2230348
Kanturk 52.17587049999999 -8.9125798
Keadue 54.0506458 -8.1372957
Kealkil 51.7550462 -9.3753187
Keel 53.9753725 -10.0822461
Kells Ceanannus Mor 53.72849309999999 -6.88169
Kenagh 53.6229706 -7.8149099
Kenmare 51.8785034 -9.5816277
Kerrykeel 55.13713629999999 -7.6663289
Kevin Street 53.3389824 -6.270243
Kilbeggan 53.368544 -7.4991806
Kilbrittain 51.6735577 -8.6917337
Kilcock 53.4038781 -6.672501
Kilconnell 53.331374 -8.4016541
Kilcormac 53.1761843 -7.728833
Kilcullen 53.12914019999999 -6.7465667
Kildare 53.15606 -6.907273
Kildorrery 52.2461111 -8.4269444
Kildysart 52.6746049 -9.1058343
Kilkee 52.6824029 -9.644720099999999
Kilkelly 53.8733563 -8.8434534
Kilkenny 52.652441 -7.259650400000001
Kill Co Waterford 52.1758844 -7.335392100000001
Killala 54.2141037 -9.2205122
Killaloe 52.808886 -8.4475152
Killarney 52.0623921 -9.512613199999999
Killeagh 51.9397604 -7.994968399999999
Killenaule 52.5638441 -7.767225199999999
Killeshandra 54.01174899999999 -7.525929499999999
Killimor 53.1656231 -8.2910516
Killorglin 52.1064969 -9.787148499999999
Killucan 53.5147144 -7.139665300000001
Kilmacow 52.3025507 -7.1740444
Kilmacrennan 55.0294941 -7.778518200000001
Kilmacthomas 52.2062517 -7.4213071
Kilmaine 53.5811547 -9.1227567
Kilmainham 53.3418693 -6.3042677
Kilmallock 52.39838169999999 -8.5757709
Kilmeaden 52.2462449 -7.2450494
Kilmoganny 52.46091879999999 -7.3292841
Kilmore Quay 52.17866369999999 -6.5837306
Kilnaleck 53.8584676 -7.3179192
Kilrickle 53.23064410000001 -8.452729099999999
Kilrush 52.6410654 -9.4810796
Kilsheelan 52.3615211 -7.579802399999999
Kiltimagh 53.8460571 -9.005603299999999
Kiltormer 53.23757759999999 -8.271338799999999
Kilworth 52.1760533 -8.247312299999999
Kingscourt 53.904315 -6.8067563
Kinlough 54.4456199 -8.287060499999999
Kinnegad 53.4559271 -7.1028004
Kinnitty 53.09841489999999 -7.722144999999998
Kinsale 51.7063198 -8.525485000000002
Kinvara 53.1404708 -8.9397256
Knock 53.79538969999999 -8.9188063
Knocknagoshel 52.330667 -9.3853088
Lanesboro 53.670893 -7.985564500000001
Laytown 53.6891979 -6.2440013
x Leach Seoirse
Leamybrien 52.1693266 -7.5216379
Leitir Mor 54.9546958 -7.7364257
Leixlip 53.36749349999999 -6.498338
Letterfrack 53.55360340000001 -9.9482317
Letterkenny 54.9546958 -7.7364257
Lifford 54.4987292 -8.2047171
Liscarroll 52.25956739999999 -8.806263699999999
Lisdoonvarna 53.0286255 -9.2896673
Lismore 52.1376459 -7.932093899999999
Lissycasey 52.7460574 -9.154413
Listowel 52.4471334 -9.4839191
Littleton 52.6407018 -7.734926499999999
Lixnaw 52.4064615 -9.6181275
Longford 53.73251089999999 -7.8013767
Longwood 53.4550101 -6.9247866
Lorrha 53.0936605 -8.122074999999999
Loughrea 53.1973746 -8.569946600000002
Louisburgh 53.7645328 -9.8074434
Louth 53.952395 -6.5379169
Lucan 53.3560186 -6.450605299999999
Lusk 53.5234315 -6.167332099999999
Macroom 51.9062914 -8.9639107
Maigh Cuilinn 53.3382701 -9.181311599999999
Malahide 53.4510876 -6.152083699999999
Mallow 52.1387584 -8.6458959
Manorhamilton 54.30435809999999 -8.17851
Mayfield 51.9097526 -8.428973599999999
Maynooth 53.3807984 -6.5926734
x Mayorstone Park
Midleton 51.9166801 -8.1735318
Milford Co Cork 52.3408333 -8.855555599999999
Milford 52.3424657 -8.8564022
Millstreet Co. Cork 52.060069 -9.061533899999999
Milltown 53.6116055 -8.897444499999999
Miltown Malbay 52.85745439999999 -9.4005947
Mitchelstown 52.2635852 -8.2705706
Moate 53.3957381 -7.7345226
Mohill 53.92083119999999 -7.868072299999999
Monaghan 54.2511304 -6.9672843
Monasterevin 53.1380245 -7.054746199999999
Moneygall 52.87973760000001 -7.9578079
Monivea 53.3739863 -8.7023298
Mooncoin 52.29470569999999 -7.257336199999999
Mountbellew 53.47 -8.5
x Mountcharles
Mountjoy 53.36048479999999 -6.2668199
Mountmellick 53.1187813 -7.335144300000001
Mountrath 52.9981519 -7.478069199999999
Moville 55.1916315 -7.0285721
Moylough 53.4883909 -8.5689806
Moyne 52.6805099 -7.8061486
Muff 53.904315 -6.8067563
Muine Bheag 52.701303 -6.957355499999999
Mullagh 53.8111398 -6.943184800000001
Mullinahone 52.5101557 -7.505574900000001
Mullinavat 52.36650849999999 -7.171764899999999
Mullingar 53.5257416 -7.3459778
Multyfarnham 53.623951 -7.3734951
Murroe 52.6492908 -8.403463499999999
Myshall 52.6875194 -6.778442
Na Cealla Beaga 54.6365973 -8.444392299999999
Na Gleannta 54.7955482 -8.2809818
Naas 53.2107184 -6.6659459
Navan 53.6545387 -6.690422799999999
Nenagh 52.8643402 -8.1995612
New Ross 52.3875306 -6.9506168
Newbridge 53.1814303 -6.795519199999999
Newcastle West 52.4537465 -9.0623968
Newmarket 52.2146426 -8.9969498
Newmarket on Fergus 52.76317290000001 -8.899114299999999
Newport Co Mayo 53.8901709 -9.546679700000002
Newport Co Tipperary 52.7102172 -8.4187938
Newtowncunningham 54.9975987 -7.5077946
Newtownmountkennedy 53.0927815 -6.112023
Nobber 53.8209544 -6.746636499999999
Oldcastle 53.76927509999999 -7.161929499999999
Omeath 54.086537 -6.2562944
Oola 52.5299904 -8.259685
Oughterard 53.42854810000001 -9.3189472
Oulart 52.5033349 -6.3913281
Oylegate 52.42407830000001 -6.5296121
Pallasgreen 52.54911 -8.35282
Pallaskenry 52.6438889 -8.867222199999999
Partry 53.6986814 -9.2795846
Passage East 52.2385961 -6.9721806
Passage West 51.8720626 -8.3362128
Patrickswell 52.5957519 -8.712942
Pearse Street 53.3456887 -6.256193499999999
Pettigo 54.5482293 -7.8348806
Piltown 52.3498228 -7.3254746
Portarlington 53.15915889999999 -7.187791900000001
Portlaoise 53.0316493 -7.303107299999999
Portlaw 52.2862623 -7.3176138
Portmagee 51.8854295 -10.36194
Portroe 52.88190460000001 -8.353675299999999
Portumna 53.09193399999999 -8.220866
Raheny 53.37898389999999 -6.1779815
Ramelton 55.036651 -7.650728699999999
Raphoe 54.874399 -7.5943724
Rathangan 53.22213929999999 -6.99754
Rathcoole 53.28179249999999 -6.4647039
Rathcormac Co Cork 52.0760851 -8.2843348
Rathdowney 52.85671170000001 -7.597834499999999
Rathdrum 52.93231230000001 -6.231101199999999
Rathfarnham 53.2974095 -6.288549
Rathgormack 52.30619050000001 -7.4988399
Rathkeale 52.52380669999999 -8.9370966
Rathmines 53.3213428 -6.267002799999999
Rathmore Co Kerry 52.08427529999999 -9.2142337
Rathmullen 55.0944191 -7.533798899999999
Rathvilly 52.880661 -6.69523
Rhode 53.351091 -7.194823899999998
Riverstown 54.12956939999999 -8.3999936
Robertstown 53.2702205 -6.816390900000001
Rochfortbridge 53.4132837 -7.301828
Rockcorry 54.1201585 -7.009365799999999
Ronanstown 53.3378993 -6.406018
Roosky 53.8327737 -7.921534899999998
Ros Muc 53.3863673 -9.6099068
Roscommon 53.6296551 -8.1935155
Roscrea 52.9561631 -7.798779699999999
Rosscarbery 51.6249493 -8.8889106
Rosses Point 54.3053678 -8.546541000000001
x Rosslare Harbour
Rosslare Strand 52.2696519 -6.3848462
Roundwood 53.0666667 -6.2333333
Roxboro Road 52.6507802 -8.6149689
Santry 53.38972889999999 -6.2516304
Scariff 52.9088498 -8.533109
Schull 51.5289376 -9.5416045
Scotstown 54.28026759999999 -7.0636221
Shankill 53.2335246 -6.1210118
Shannon 52.7080281 -8.8768351
Shercock 53.99219979999999 -6.9007837
Shevry 52.6893873 -8.0508351
Shillelagh 52.7545156 -6.533460499999999
Shinrone 52.9846557 -7.934145899999999
Shrule 53.5198467 -9.0876228
Sixmilebridge 52.7401024 -8.777946000000002
Skerries 53.5795857 -6.1069795
Skibbereen 51.5486111 -9.2661111
Skreen 54.2445995 -8.7204056
Slane 53.7086474 -6.543651199999999
Sligo 54.2695873 -8.471527499999999
Smear 53.860567 -7.6016783
Sneem 51.8389159 -9.9039635
Sraith Salach 53.465315 -9.7214299
Stoneyford 52.53638489999999 -7.228581
Store Street 53.35046699999999 -6.2521929
Stradbally Co Laois 53.0176739 -7.151598399999999
Strokestown 53.78076189999999 -8.1038142
Stuake 51.99050700000001 -8.7603616
Summerhill 53.4813655 -6.732514699999999
Sundrive Road 53.3195692 -6.3149941
Swanlinbar 54.1961112 -7.703836900000001
Swinford 53.94063629999999 -8.952208599999999
Swords 53.45620539999999 -6.2214442
Taghmon 52.3229838 -6.6546699
Tallaght 53.2868018 -6.3678328
Tallow 52.09370209999999 -8.0073021
Tarbert 52.5727353 -9.375424299999999
Tarelton 51.8385305 -8.9928513
Taughmaconnell 53.3940037 -8.1720671
Templederry 52.7742838 -8.0731293
Templemore 52.7969547 -7.8338896
Templetuohy 52.79029370000001 -7.720092999999999
Terenure 53.3097433 -6.288020599999999
Thomastown 52.5290773 -7.138945199999999
Thurles 52.6757117 -7.8118993
Timoleague 51.6425978 -8.7761745
Tinahely 52.7967228 -6.469277300000001
Tipperary 52.4760417 -8.1629034
Togher 51.8763726 -8.4862818
Toomevara 52.84971420000001 -8.0364749
Tralee 52.269509 -9.7088196
Tramore 52.1614976 -7.1533891
